Type,Lots,EntryBarNum,ExitBarNum,OrderPrice,ExitLimitPrice
LONG,594.1,4524,4650,22.27,24.06
LONG,456.54,4653,4659,25.48,29.35
LONG,276.94,4660,4900,29.4,24.43
LONG,6049.12,4966,4973,25.37,24.75
SHORT,5032.68,4967,5062,25.24,24.24
SHORT,1363.88,5132,5203,23.13,22.43
LONG,2491.54,5292,5419,24.6,25.19
LONG,5841.73,5448,5455,24.03,23.54
SHORT,6654.46,5454,5464,23.69,23.09
SHORT,3016.38,5465,5496,23.22,21.26
SHORT,1232.91,5497,5579,22.0,21.31
SHORT,1156.67,5660,5681,20.99,20.3
SHORT,974.73,5682,5827,20.34,19.69
SHORT,1632.02,5828,5851,19.87,19.33
SHORT,1232.64,5852,6055,19.11,18.38
SHORT,1171.75,6084,6252,17.8,19.32
LONG,6975.58,6179,6185,19.21,18.77
LONG,1897.5,6309,6456,20.27,19.0
SHORT,5345.75,6480,6498,18.97,19.59
LONG,12230.11,6483,6502,19.31,19.71
LONG,4925.13,6503,6508,19.7,20.21
LONG,2789.78,6509,6544,20.15,20.81
LONG,1349.79,6545,6564,21.3,21.81
LONG,725.4,6565,6577,23.11,24.38
LONG,616.0,6578,6820,23.87,21.61
LONG,3731.2,6930,6933,23.15,24.0
LONG,1889.85,6934,6947,23.86,24.43
LONG,1409.12,6948,7006,24.34,25.16
LONG,982.95,7007,7015,25.1,26.08
LONG,678.54,7016,7033,26.37,27.33
LONG,605.79,7034,7041,27.03,28.03
LONG,498.3,7042,7046,28.08,29.52
LONG,422.25,7047,7056,29.11,30.09
LONG,392.78,7057,7087,29.73,31.07
LONG,356.38,7088,7105,30.79,32.41
LONG,319.7,7106,7259,31.88,33.85
LONG,284.64,7309,7314,39.07,40.66
LONG,233.44,7315,7316,41.35,44.58
LONG,191.57,7317,7500,43.91,46.5
LONG,319.65,7507,7519,45.3,47.46
LONG,266.24,7520,7526,47.37,50.7
LONG,192.96,7527,7534,51.44,54.11
LONG,160.09,7535,7552,54.61,59.68
LONG,115.11,7553,7665,62.09,67.79
LONG,835.63,7985,8052,60.12,62.18
LONG,508.45,8053,8067,62.12,65.24
LONG,669.35,8114,8140,61.64,63.99
LONG,448.14,8141,8147,63.6,65.97
LONG,353.84,8148,8184,65.27,68.67
LONG,280.02,8185,8190,67.91,71.47
LONG,202.92,8191,8210,71.74,74.94
LONG,183.09,8211,8364,73.88,78.5
SHORT,1000.02,8313,8322,64.3,67.56
LONG,693.47,8441,8448,71.19,74.9
LONG,199.02,8493,8505,82.88,86.62
LONG,159.82,8506,8516,86.83,92.5
LONG,127.19,8517,8524,91.69,97.8
LONG,97.16,8525,8569,98.84,108.81
LONG,80.02,8570,8574,107.88,116.22
LONG,66.89,8575,8610,114.87,123.15
LONG,60.61,8611,8824,122.27,98.43
SHORT,917.71,8826,8829,102.06,96.84
SHORT,339.75,8830,8929,97.38,89.29
LONG,603.56,8854,8862,105.16,100.95
